OrderID,CustomerID,OrderDate,RestaurantType,MenuCategory,ItemName,Quantity,UnitPrice,TotalPrice,PaymentMethod,TableNumber,DayOfWeek,TimeOfDay,SpecialRequest,ServerName
1038,C089,2025-11-11,Dine-In,Beverage,Latte,2,13.9,27.8,Cash,6,Tuesday,Lunch,Less sugar,Daniel
1039,C520,2025-11-13,Takeaway,Food,Pasta Alfredo,1,11.79,11.79,Card,N/A,Thursday,Lunch,Extra ice,does not report
1040,C912,2025-03-28,Delivery,Beverage,Fresh Orange Juice,1,17.12,17.12,Mobile Payment,N/A,Friday,Lunch,No onions,does not report
1041,C966,2025-08-06,Dine-In,Beverage,Mineral Water,3,13.13,39.39,Card,7,Wednesday,Dinner,No onions,Alice
1042,C728,2025-11-15,Dine-In,Beverage,Fresh Orange Juice,2,7.27,14.54,Cash,7,Saturday,Lunch,Extra cheese,Michael
1043,C369,2025-05-27,Dine-In,Food,Caesar Salad,3,17.39,52.17,Card,15,Tuesday,Lunch,Extra cheese,Daniel
1044,C968,2025-05-22,Delivery,Beverage,Cappuccino,1,16.76,16.76,Cash,N/A,Thursday,Late Night,Gluten-free,does not report
1045,C371,2025-03-20,Takeaway,Beverage,Iced Tea,3,17.43,52.29,Cash,N/A,Thursday,Dinner,Skim milk,does not report
1046,C647,2025-12-06,Takeaway,Food,Grilled Chicken,3,5.57,16.71,Cash,N/A,Saturday,Late Night,Dressing on the side,does not report
1047,C487,2025-09-07,Delivery,Beverage,Cappuccino,1,8.44,8.44,Card,N/A,Sunday,Lunch,Gluten-free,does not report
1048,C264,2025-03-31,Dine-In,Beverage,Fresh Orange Juice,2,12.37,24.74,Cash,11,Monday,Lunch,No onions,Michael
1049,C766,2025-02-02,Delivery,Beverage,Mojito,3,10.43,31.29,Mobile Payment,N/A,Sunday,Lunch,Gluten-free,does not report
1050,C333,2025-10-28,Dine-In,Beverage,Latte,3,18.79,56.37,Card,13,Tuesday,Late Night,No onions,Sophia
1051,C696,2025-01-22,Dine-In,Beverage,Green Smoothie,2,10.09,20.18,Mobile Payment,5,Wednesday,Dinner,Skim milk,Michael
1052,C535,2025-09-09,Delivery,Food,Sushi Roll,2,7.19,14.38,Mobile Payment,N/A,Tuesday,Lunch,Gluten-free,does not report
1053,C732,2025-02-06,Delivery,Food,Sushi Roll,3,8.73,26.19,Card,N/A,Thursday,Lunch,No onions,does not report
1054,C057,2025-05-25,Dine-In,Food,Margherita Pizza,2,16.86,33.72,Mobile Payment,17,Sunday,Dinner,Extra cheese,Robert
1055,C205,2025-09-28,Takeaway,Beverage,Fresh Orange Juice,3,11.29,33.87,Cash,N/A,Sunday,Breakfast,None,does not report
1056,C030,2025-03-28,Delivery,Beverage,Fresh Orange Juice,1,13.62,13.62,Card,N/A,Friday,Lunch,Gluten-free,does not report
1057,C536,2025-11-25,Takeaway,Beverage,Green Smoothie,1,18.3,18.3,Card,N/A,Tuesday,Dinner,Dressing on the side,does not report
1058,C462,2025-09-08,Delivery,Beverage,Fresh Orange Juice,3,10.28,30.84,Mobile Payment,N/A,Monday,Dinner,Less sugar,does not report
1059,C032,2025-01-28,Delivery,Beverage,Mineral Water,1,3.41,3.41,Card,N/A,Tuesday,Dinner,Gluten-free,does not report
1060,C126,2025-11-21,Dine-In,Food,Veggie Sandwich,2,8.07,16.14,Card,10,Friday,Late Night,Gluten-free,Daniel
1061,C201,2025-02-13,Takeaway,Food,Grilled Chicken,2,15.37,30.74,Mobile Payment,N/A,Thursday,Dinner,No cheese,does not report
1062,C071,2025-11-27,Dine-In,Beverage,Iced Tea,3,16.66,49.98,Card,18,Thursday,Lunch,Less sugar,Alice
1063,C073,2025-11-13,Dine-In,Food,Veggie Sandwich,3,13.37,40.11,Mobile Payment,20,Thursday,Late Night,Less sugar,Daniel
1064,C061,2025-06-19,Delivery,Beverage,Iced Tea,2,18.58,37.16,Mobile Payment,N/A,Thursday,Dinner,No cheese,does not report
1065,C265,2025-11-14,Delivery,Beverage,Mojito,2,17.63,35.26,Cash,N/A,Friday,Dinner,Extra cheese,does not report
1066,C415,2025-01-28,Delivery,Food,Margherita Pizza,1,16.38,16.38,Cash,N/A,Tuesday,Lunch,None,does not report
1067,C657,2025-12-25,Dine-In,Beverage,Iced Tea,1,18.37,18.37,Card,12,Thursday,Late Night,Dressing on the side,Alice
1068,C732,2025-02-06,Delivery,Beverage,Cappuccino,1,9.95,9.95,Card,N/A,Thursday,Late Night,None,does not report
1069,C409,2025-11-29,Delivery,Beverage,Cappuccino,1,16.17,16.17,Cash,N/A,Saturday,Breakfast,No onions,does not report
1070,C834,2025-11-04,Dine-In,Beverage,Latte,2,6.53,13.06,Cash,16,Tuesday,Dinner,No onions,Michael
1071,C110,2025-06-19,Delivery,Food,Caesar Salad,3,7.83,23.49,Cash,N/A,Thursday,Breakfast,Less sugar,does not report
1072,C147,2025-01-20,Delivery,Beverage,Fresh Orange Juice,1,19.52,19.52,Mobile Payment,N/A,Monday,Late Night,No cheese,does not report
1073,C763,2025-10-14,Delivery,Food,Caesar Salad,2,11.32,22.64,Mobile Payment,N/A,Tuesday,Breakfast,No cheese,does not report
1074,C857,2025-02-11,Takeaway,Food,Beef Burger,2,7.76,15.52,Card,N/A,Tuesday,Dinner,Less sugar,does not report
1075,C962,2025-01-02,Delivery,Beverage,Green Smoothie,2,16.92,33.84,Card,N/A,Thursday,Lunch,Extra ice,does not report
1076,C476,2025-02-11,Takeaway,Beverage,Mineral Water,1,16.04,16.04,Card,N/A,Tuesday,Lunch,None,does not report
1077,C516,2025-04-13,Takeaway,Food,Sushi Roll,3,4.64,13.92,Cash,N/A,Sunday,Lunch,Extra ice,does not report
1078,C139,2025-09-18,Dine-In,Food,Sushi Roll,3,12.86,38.58,Card,1,Thursday,Late Night,No cheese,Robert
1079,C077,2025-08-01,Dine-In,Beverage,Fresh Orange Juice,2,17.17,34.34,Mobile Payment,3,Friday,Lunch,None,Sophia
1080,C461,2025-02-26,Delivery,Beverage,Latte,1,12.39,12.39,Mobile Payment,N/A,Wednesday,Lunch,No cheese,does not report
1081,C779,2025-02-19,Takeaway,Beverage,Mojito,2,8.49,16.98,Card,N/A,Wednesday,Dinner,No onions,does not report
1082,C118,2025-03-02,Delivery,Beverage,Mineral Water,1,3.48,3.48,Cash,N/A,Sunday,Dinner,Less sugar,does not report
1083,C864,2025-07-30,Delivery,Beverage,Iced Tea,2,12.67,25.34,Cash,N/A,Wednesday,Dinner,Gluten-free,does not report
1084,C725,2025-08-18,Delivery,Food,Veggie Sandwich,3,19.4,58.2,Card,N/A,Monday,Lunch,None,does not report
1085,C087,2025-06-03,Delivery,Beverage,Latte,1,10.81,10.81,Cash,N/A,Tuesday,Dinner,None,does not report
1086,C936,2025-02-11,Takeaway,Beverage,Mojito,1,5.07,5.07,Mobile Payment,N/A,Tuesday,Breakfast,Dressing on the side,does not report
1087,C970,2025-08-17,Takeaway,Beverage,Latte,1,15.54,15.54,Card,N/A,Sunday,Dinner,Gluten-free,does not report
1088,C948,2025-11-24,Dine-In,Beverage,Iced Tea,3,13.54,40.62,Cash,5,Monday,Late Night,No cheese,Robert
1089,C203,2025-09-04,Delivery,Food,Veggie Sandwich,2,9.71,19.42,Cash,N/A,Thursday,Lunch,Dressing on the side,does not report
1090,C812,2025-01-02,Delivery,Beverage,Iced Tea,3,15.02,45.06,Mobile Payment,N/A,Thursday,Lunch,Less sugar,does not report
1091,C539,2025-07-27,Delivery,Food,Beef Burger,1,7.43,7.43,Card,N/A,Sunday,Dinner,Extra cheese,does not report
1092,C009,2025-10-10,Dine-In,Beverage,Fresh Orange Juice,2,13.58,27.16,Cash,11,Friday,Late Night,Gluten-free,Daniel
1093,C273,2025-08-08,Delivery,Food,Margherita Pizza,2,7.55,15.1,Card,N/A,Friday,Lunch,Extra ice,does not report
1094,C383,2025-02-06,Delivery,Food,Caesar Salad,1,12.4,12.4,Cash,N/A,Thursday,Late Night,Skim milk,does not report
1095,C984,2025-08-11,Takeaway,Food,Beef Burger,3,4.06,12.18,Mobile Payment,N/A,Monday,Lunch,No cheese,does not report
1096,C997,2025-04-22,Dine-In,Beverage,Latte,3,8.61,25.83,Mobile Payment,15,Tuesday,Lunch,No onions,Alice
1097,C898,2025-02-25,Dine-In,Beverage,Latte,1,16.14,16.14,Card,5,Tuesday,Late Night,Dressing on the side,Alice
1098,C146,2025-12-05,Takeaway,Food,Sushi Roll,2,18.82,37.64,Card,N/A,Friday,Lunch,No cheese,does not report
1099,C493,2025-01-04,Dine-In,Beverage,Mineral Water,2,13.18,26.36,Card,17,Saturday,Lunch,Less sugar,Alice
1100,C887,2025-11-12,Dine-In,Beverage,Iced Tea,2,17.18,34.36,Cash,15,Wednesday,Breakfast,Gluten-free,Alice
1101,C040,2025-01-01,Dine-In,Food,Margherita Pizza,3,9.33,27.99,Mobile Payment,6,Wednesday,Lunch,None,Michael
1102,C965,2025-02-11,Takeaway,Beverage,Mineral Water,2,12.02,24.04,Cash,N/A,Tuesday,Dinner,Extra ice,does not report
1103,C374,2025-04-07,Delivery,Beverage,Iced Tea,2,11.52,23.04,Card,N/A,Monday,Breakfast,None,does not report
1104,C117,2025-08-29,Dine-In,Beverage,Mojito,1,14.14,14.14,Mobile Payment,10,Friday,Lunch,Extra ice,Sophia
1105,C332,2025-11-17,Takeaway,Food,Sushi Roll,3,7.46,22.38,Cash,N/A,Monday,Dinner,Dressing on the side,does not report
1106,C999,2025-08-25,Dine-In,Food,Margherita Pizza,3,10.57,31.71,Mobile Payment,19,Monday,Breakfast,No onions,Alice
1107,C127,2025-03-22,Dine-In,Food,Margherita Pizza,3,9.09,27.27,Card,2,Saturday,Lunch,No cheese,Michael
1108,C876,2025-04-20,Delivery,Beverage,Cappuccino,3,8.31,24.93,Cash,N/A,Sunday,Dinner,Dressing on the side,does not report
1109,C830,2025-07-21,Takeaway,Food,Veggie Sandwich,3,4.66,13.98,Mobile Payment,N/A,Monday,Dinner,Extra ice,does not report
1110,C808,2025-07-03,Takeaway,Food,Margherita Pizza,3,13.39,40.17,Mobile Payment,N/A,Thursday,Lunch,Skim milk,does not report
1111,C700,2025-12-07,Takeaway,Food,Caesar Salad,1,18.29,18.29,Cash,N/A,Sunday,Late Night,Dressing on the side,does not report
1112,C342,2025-01-27,Dine-In,Food,Caesar Salad,3,8.8,26.4,Cash,13,Monday,Dinner,Dressing on the side,Alice
1113,C880,2025-05-27,Delivery,Food,Margherita Pizza,3,4.98,14.94,Cash,N/A,Tuesday,Lunch,No onions,does not report
1114,C585,2025-12-08,Delivery,Beverage,Latte,3,4.35,13.05,Card,N/A,Monday,Breakfast,Gluten-free,does not report
1115,C286,2025-09-19,Delivery,Beverage,Latte,3,16.09,48.27,Cash,N/A,Friday,Dinner,Extra ice,does not report
1116,C208,2025-09-17,Takeaway,Food,Pasta Alfredo,3,14.9,44.7,Card,N/A,Wednesday,Breakfast,Extra ice,does not report
1117,C021,2025-04-02,Delivery,Food,Sushi Roll,1,19.82,19.82,Card,N/A,Wednesday,Lunch,No onions,does not report
1118,C277,2025-06-24,Dine-In,Beverage,Iced Tea,2,15.81,31.62,Mobile Payment,7,Tuesday,Dinner,Extra cheese,Sophia
1119,C654,2025-06-13,Dine-In,Food,Sushi Roll,3,9.01,27.03,Mobile Payment,20,Friday,Breakfast,Gluten-free,Daniel
1120,C660,2025-01-28,Dine-In,Beverage,Cappuccino,3,12.04,36.12,Card,7,Tuesday,Late Night,Gluten-free,Robert
1121,C540,2025-07-11,Dine-In,Food,Margherita Pizza,2,5.85,11.7,Mobile Payment,1,Friday,Lunch,Extra ice,Alice
1122,C120,2025-07-28,Delivery,Food,Margherita Pizza,2,13.78,27.56,Mobile Payment,N/A,Monday,Dinner,Extra ice,does not report
1123,C702,2025-04-20,Delivery,Beverage,Mineral Water,1,17.74,17.74,Card,N/A,Sunday,Lunch,None,does not report
1124,C904,2025-05-10,Delivery,Food,Margherita Pizza,3,14.3,42.9,Cash,N/A,Saturday,Breakfast,Extra ice,does not report
1125,C587,2025-09-02,Delivery,Food,Sushi Roll,1,17.14,17.14,Mobile Payment,N/A,Tuesday,Late Night,Gluten-free,does not report
1126,C895,2025-09-11,Delivery,Food,Caesar Salad,2,10.41,20.82,Mobile Payment,N/A,Thursday,Lunch,None,does not report
1127,C839,2025-04-20,Takeaway,Food,Veggie Sandwich,2,9.57,19.14,Card,N/A,Sunday,Dinner,None,does not report
1128,C677,2025-08-06,Takeaway,Beverage,Latte,2,8.89,17.78,Mobile Payment,N/A,Wednesday,Dinner,None,does not report
1129,C432,2025-01-03,Dine-In,Food,Beef Burger,3,9.29,27.87,Cash,20,Friday,Dinner,Gluten-free,Robert
1130,C747,2025-10-03,Delivery,Beverage,Fresh Orange Juice,2,16.8,33.6,Cash,N/A,Friday,Dinner,No cheese,does not report
1131,C060,2025-02-23,Delivery,Beverage,Iced Tea,2,16.16,32.32,Mobile Payment,N/A,Sunday,Dinner,No cheese,does not report
1132,C114,2025-04-30,Dine-In,Food,Grilled Chicken,2,6.79,13.58,Card,5,Wednesday,Lunch,None,Daniel
1133,C853,2025-07-31,Takeaway,Beverage,Iced Tea,2,17.66,35.32,Card,N/A,Thursday,Dinner,No cheese,does not report
1134,C224,2025-05-14,Dine-In,Food,Beef Burger,3,10.57,31.71,Cash,10,Wednesday,Breakfast,Gluten-free,Robert
1135,C028,2025-09-11,Delivery,Food,Veggie Sandwich,1,14.13,14.13,Card,N/A,Thursday,Late Night,Skim milk,does not report
1136,C881,2025-07-24,Delivery,Food,Pasta Alfredo,1,13.25,13.25,Card,N/A,Thursday,Lunch,Extra cheese,does not report
1137,C743,2025-11-14,Dine-In,Food,Margherita Pizza,1,18.74,18.74,Mobile Payment,3,Friday,Lunch,Dressing on the side,Daniel
1138,C668,2025-02-17,Takeaway,Beverage,Iced Tea,3,10.42,31.26,Mobile Payment,N/A,Monday,Dinner,Extra ice,does not report
1139,C235,2025-12-18,Delivery,Food,Caesar Salad,1,19.32,19.32,Cash,N/A,Thursday,Late Night,No onions,does not report
1140,C008,2025-06-09,Delivery,Food,Margherita Pizza,1,12.33,12.33,Mobile Payment,N/A,Monday,Breakfast,None,does not report
1141,C607,2025-10-13,Delivery,Beverage,Green Smoothie,2,15.5,31.0,Mobile Payment,N/A,Monday,Lunch,No cheese,does not report
1142,C607,2025-10-13,Takeaway,Beverage,Cappuccino,2,4.4,8.8,Cash,N/A,Monday,Dinner,Dressing on the side,does not report
1143,C978,2025-09-15,Dine-In,Beverage,Cappuccino,1,6.46,6.46,Card,8,Monday,Late Night,Less sugar,Sophia
1144,C029,2025-01-07,Dine-In,Food,Veggie Sandwich,3,19.38,58.14,Card,15,Tuesday,Lunch,None,Sophia
1145,C662,2025-02-15,Takeaway,Beverage,Fresh Orange Juice,2,7.03,14.06,Card,N/A,Saturday,Late Night,Less sugar,does not report
1146,C089,2025-11-11,Takeaway,Beverage,Green Smoothie,3,8.41,25.23,Mobile Payment,N/A,Tuesday,Dinner,No onions,does not report
1147,C223,2025-09-19,Dine-In,Beverage,Cappuccino,3,16.65,49.95,Mobile Payment,11,Friday,Lunch,No cheese,Robert
1148,C106,2025-03-02,Takeaway,Food,Veggie Sandwich,1,14.91,14.91,Mobile Payment,N/A,Sunday,Breakfast,None,does not report
1149,C138,2025-12-12,Takeaway,Food,Veggie Sandwich,2,4.85,9.7,Card,N/A,Friday,Breakfast,Dressing on the side,does not report
1150,C485,2025-09-28,Takeaway,Beverage,Iced Tea,1,12.61,12.61,Card,N/A,Sunday,Dinner,No cheese,does not report
1151,C812,2025-01-02,Dine-In,Food,Sushi Roll,1,15.62,15.62,Card,18,Thursday,Dinner,Extra ice,Alice
1152,C979,2025-09-28,Takeaway,Food,Grilled Chicken,3,19.41,58.23,Card,N/A,Sunday,Late Night,Extra ice,does not report
1153,C904,2025-05-10,Takeaway,Beverage,Latte,3,11.27,33.81,Mobile Payment,N/A,Saturday,Breakfast,Extra cheese,does not report
1154,C185,2025-09-08,Dine-In,Beverage,Iced Tea,3,12.45,37.35,Cash,4,Monday,Dinner,No onions,Robert
1155,C862,2025-06-10,Delivery,Food,Sushi Roll,1,13.95,13.95,Card,N/A,Tuesday,Dinner,Extra cheese,does not report
1156,C418,2025-08-03,Dine-In,Beverage,Latte,2,18.9,37.8,Card,12,Sunday,Breakfast,Extra ice,Sophia
1157,C852,2025-10-02,Delivery,Food,Beef Burger,1,3.3,3.3,Card,N/A,Thursday,Dinner,Dressing on the side,does not report
1158,C077,2025-08-01,Delivery,Food,Sushi Roll,3,13.03,39.09,Cash,N/A,Friday,Lunch,Gluten-free,does not report
1159,C871,2025-07-18,Takeaway,Food,Sushi Roll,2,16.11,32.22,Cash,N/A,Friday,Breakfast,Skim milk,does not report
1160,C421,2025-09-23,Dine-In,Food,Caesar Salad,3,15.45,46.35,Cash,4,Tuesday,Breakfast,Gluten-free,Michael
1161,C837,2025-02-26,Takeaway,Beverage,Mojito,1,15.77,15.77,Cash,N/A,Wednesday,Lunch,Less sugar,does not report
1162,C331,2025-01-27,Takeaway,Food,Margherita Pizza,2,19.03,38.06,Cash,N/A,Monday,Breakfast,Extra cheese,does not report
1163,C959,2025-05-06,Delivery,Beverage,Latte,1,3.71,3.71,Mobile Payment,N/A,Tuesday,Late Night,No cheese,does not report
1164,C840,2025-10-08,Takeaway,Beverage,Mojito,2,14.37,28.74,Card,N/A,Wednesday,Breakfast,Dressing on the side,does not report
1165,C367,2025-09-27,Delivery,Food,Veggie Sandwich,3,11.99,35.97,Mobile Payment,N/A,Saturday,Dinner,Skim milk,does not report
1166,C380,2025-07-20,Takeaway,Food,Pasta Alfredo,1,8.45,8.45,Mobile Payment,N/A,Sunday,Late Night,Extra cheese,does not report
1167,C349,2025-04-12,Dine-In,Food,Pasta Alfredo,1,13.81,13.81,Card,11,Saturday,Dinner,No cheese,Sophia
1168,C215,2025-01-22,Takeaway,Food,Grilled Chicken,1,12.25,12.25,Mobile Payment,N/A,Wednesday,Dinner,None,does not report
1169,C979,2025-09-28,Dine-In,Food,Grilled Chicken,2,6.13,12.26,Cash,19,Sunday,Lunch,Dressing on the side,Robert
1170,C025,2025-04-17,Delivery,Food,Grilled Chicken,1,15.42,15.42,Cash,N/A,Thursday,Dinner,None,does not report
1171,C859,2025-08-14,Dine-In,Beverage,Fresh Orange Juice,1,12.17,12.17,Mobile Payment,12,Thursday,Lunch,Dressing on the side,Michael
1172,C269,2025-05-08,Takeaway,Food,Margherita Pizza,2,12.08,24.16,Card,N/A,Thursday,Breakfast,Dressing on the side,does not report
1173,C502,2025-07-24,Dine-In,Food,Grilled Chicken,3,5.55,16.65,Mobile Payment,18,Thursday,Lunch,Dressing on the side,Sophia
1174,C500,2025-01-02,Dine-In,Beverage,Cappuccino,1,6.94,6.94,Card,13,Thursday,Lunch,No onions,Robert
1175,C489,2025-12-21,Delivery,Food,Pasta Alfredo,1,15.71,15.71,Card,N/A,Sunday,Dinner,No cheese,does not report
1176,C515,2025-01-07,Delivery,Food,Veggie Sandwich,2,5.21,10.42,Card,N/A,Tuesday,Lunch,Skim milk,does not report
1177,C300,2025-03-20,Takeaway,Food,Caesar Salad,1,17.78,17.78,Cash,N/A,Thursday,Lunch,Extra ice,does not report
1178,C782,2025-09-09,Delivery,Food,Caesar Salad,3,7.75,23.25,Cash,N/A,Tuesday,Late Night,Extra ice,does not report
1179,C485,2025-09-28,Dine-In,Food,Sushi Roll,1,3.81,3.81,Card,3,Sunday,Late Night,No cheese,Alice
1180,C604,2025-05-27,Takeaway,Food,Beef Burger,2,19.39,38.78,Cash,N/A,Tuesday,Lunch,Dressing on the side,does not report
1181,C119,2025-06-25,Takeaway,Food,Margherita Pizza,3,18.58,55.74,Mobile Payment,N/A,Wednesday,Lunch,Dressing on the side,does not report
1182,C722,2025-11-09,Takeaway,Beverage,Mojito,1,15.75,15.75,Card,N/A,Sunday,Lunch,None,does not report
1183,C227,2025-08-29,Dine-In,Food,Sushi Roll,3,4.22,12.66,Card,17,Friday,Dinner,Extra cheese,Alice
1184,C480,2025-07-16,Takeaway,Food,Beef Burger,3,6.34,19.02,Card,N/A,Wednesday,Lunch,Extra cheese,does not report
1185,C994,2025-07-24,Delivery,Food,Veggie Sandwich,1,4.01,4.01,Cash,N/A,Thursday,Lunch,No onions,does not report
1186,C316,2025-11-06,Dine-In,Beverage,Mojito,1,16.64,16.64,Mobile Payment,7,Thursday,Dinner,Gluten-free,Daniel
1187,C648,2025-08-05,Dine-In,Food,Beef Burger,3,19.93,59.79,Cash,12,Tuesday,Lunch,No onions,Michael
1188,C530,2025-07-27,Takeaway,Food,Beef Burger,1,4.93,4.93,Mobile Payment,N/A,Sunday,Breakfast,No cheese,does not report
1189,C778,2025-10-25,Takeaway,Food,Sushi Roll,3,18.95,56.85,Mobile Payment,N/A,Saturday,Breakfast,Gluten-free,does not report
1190,C428,2025-12-24,Dine-In,Beverage,Mineral Water,2,9.82,19.64,Mobile Payment,7,Wednesday,Dinner,None,Robert
1191,C900,2025-07-28,Delivery,Food,Veggie Sandwich,1,19.87,19.87,Cash,N/A,Monday,Late Night,Extra cheese,does not report
1192,C198,2025-03-22,Takeaway,Food,Margherita Pizza,1,11.16,11.16,Card,N/A,Saturday,Lunch,Extra ice,does not report
1193,C499,2025-08-14,Delivery,Beverage,Fresh Orange Juice,3,16.95,50.85,Cash,N/A,Thursday,Lunch,Extra cheese,does not report
1194,C975,2025-07-18,Takeaway,Food,Grilled Chicken,1,3.33,3.33,Cash,N/A,Friday,Lunch,Gluten-free,does not report
1195,C176,2025-08-28,Delivery,Food,Caesar Salad,2,16.35,32.7,Card,N/A,Thursday,Dinner,No onions,does not report
1196,C921,2025-01-03,Delivery,Food,Beef Burger,1,13.99,13.99,Mobile Payment,N/A,Friday,Dinner,No cheese,does not report
1197,C164,2025-01-02,Delivery,Food,Caesar Salad,1,8.42,8.42,Card,N/A,Thursday,Dinner,Gluten-free,does not report
1198,C036,2025-07-26,Dine-In,Beverage,Mineral Water,1,17.28,17.28,Mobile Payment,11,Saturday,Lunch,Extra ice,Sophia
1199,C745,2025-10-26,Delivery,Beverage,Iced Tea,3,5.61,16.83,Mobile Payment,N/A,Sunday,Dinner,No onions,does not report
1200,C641,2025-01-25,Takeaway,Beverage,Mojito,3,3.89,11.67,Mobile Payment,N/A,Saturday,Dinner,None,does not report
1201,C714,2025-03-08,Delivery,Food,Grilled Chicken,1,15.3,15.3,Card,N/A,Saturday,Lunch,None,does not report
