CustomerID,segmento_valor
C647,Huespedes esporádicos
C333,Huespedes conectados
C057,Huespedes esporádicos
C536,Huespedes conectados
C476,Huespedes conectados
C087,Huespedes VIP
C009,Huespedes esporádicos
C146,Huespedes esporádicos
C493,Huespedes conectados
C830,Huespedes esporádicos
C021,Huespedes conectados
C277,Huespedes conectados
C743,Huespedes esporádicos
C668,Huespedes esporádicos
C978,Huespedes esporádicos
C223,Huespedes esporádicos
C185,Huespedes VIP
C862,Huespedes esporádicos
C959,Huespedes esporádicos
C840,Huespedes esporádicos
C428,Huespedes conectados
C176,Huespedes VIP
C905,Huespedes esporádicos
C307,Huespedes conectados
C312,Huespedes esporádicos
C187,Huespedes VIP
C781,Huespedes esporádicos
C154,Huespedes esporádicos
C661,Huespedes esporádicos
C243,Huespedes VIP
C935,Huespedes esporádicos
C464,Huespedes conectados
C123,Huespedes VIP
C815,Huespedes esporádicos
C838,Huespedes esporádicos
C281,Huespedes conectados
C318,Huespedes conectados
C581,Huespedes esporádicos
C751,Huespedes esporádicos
C212,Huespedes esporádicos
C620,Huespedes esporádicos
C716,Huespedes esporádicos
C842,Huespedes esporádicos
C701,Huespedes esporádicos
C612,Huespedes esporádicos
C552,Huespedes conectados
C791,Huespedes esporádicos
C315,Huespedes conectados
C646,Huespedes esporádicos
C1011,Huespedes VIP
C1013,Huespedes VIP
C1018,Huespedes VIP
C1025,Huespedes VIP
C1044,Huespedes conectados
C1053,Huespedes conectados
C1058,Huespedes conectados
C1060,Huespedes conectados
C060,Huespedes esporádicos
C715,Huespedes esporádicos
C968,Huespedes esporádicos
C118,Huespedes esporádicos
C812,Huespedes esporádicos
C539,Huespedes conectados
C273,Huespedes conectados
C984,Huespedes esporádicos
C127,Huespedes VIP
C880,Huespedes esporádicos
C585,Huespedes esporádicos
C208,Huespedes esporádicos
C654,Huespedes esporádicos
C029,Huespedes esporádicos
C106,Huespedes VIP
C418,Huespedes conectados
C380,Huespedes conectados
C349,Huespedes esporádicos
C269,Huespedes conectados
C722,Huespedes esporádicos
C994,Huespedes esporádicos
C499,Huespedes esporádicos
C975,Huespedes esporádicos
C164,Huespedes VIP
C745,Huespedes esporádicos
C285,Huespedes conectados
C750,Huespedes esporádicos
C802,Huespedes esporádicos
C366,Huespedes conectados
C833,Huespedes esporádicos
C067,Huespedes VIP
C694,Huespedes esporádicos
C942,Huespedes esporádicos
C567,Huespedes esporádicos
C929,Huespedes esporádicos
C544,Huespedes conectados
C189,Huespedes esporádicos
C526,Huespedes conectados
C784,Huespedes esporádicos
C777,Huespedes esporádicos
C890,Huespedes esporádicos
C928,Huespedes esporádicos
C448,Huespedes esporádicos
C918,Huespedes esporádicos
C483,Huespedes esporádicos
C877,Huespedes esporádicos
C447,Huespedes esporádicos
C712,Huespedes esporádicos
C938,Huespedes esporádicos
C047,Huespedes conectados
C402,Huespedes esporádicos
C894,Huespedes esporádicos
C507,Huespedes conectados
C343,Huespedes conectados
C911,Huespedes esporádicos
C424,Huespedes conectados
C617,Huespedes esporádicos
C456,Huespedes conectados
C995,Huespedes esporádicos
C739,Huespedes esporádicos
C860,Huespedes esporádicos
C309,Huespedes esporádicos
C069,Huespedes VIP
C878,Huespedes esporádicos
C652,Huespedes esporádicos
C1006,Huespedes VIP
C1030,Huespedes VIP
C1036,Huespedes conectados
C1038,Huespedes conectados
C1041,Huespedes conectados
C752,Huespedes esporádicos
C747,Huespedes esporádicos
C262,Huespedes conectados
C754,Huespedes esporádicos
C196,Huespedes VIP
C305,Huespedes conectados
C371,Huespedes esporádicos
C696,Huespedes esporádicos
C462,Huespedes esporádicos
C071,Huespedes VIP
C409,Huespedes conectados
C763,Huespedes esporádicos
C962,Huespedes esporádicos
C948,Huespedes esporádicos
C203,Huespedes VIP
C999,Huespedes esporádicos
C839,Huespedes esporádicos
C008,Huespedes esporádicos
C515,Huespedes conectados
C300,Huespedes esporádicos
C643,Huespedes esporádicos
C233,Huespedes esporádicos
C222,Huespedes esporádicos
C458,Huespedes conectados
C253,Huespedes VIP
C097,Huespedes esporádicos
C177,Huespedes VIP
C230,Huespedes VIP
C439,Huespedes esporádicos
C474,Huespedes esporádicos
C317,Huespedes conectados
C527,Huespedes conectados
C301,Huespedes conectados
C586,Huespedes esporádicos
C390,Huespedes esporádicos
C735,Huespedes esporádicos
C807,Huespedes esporádicos
C721,Huespedes esporádicos
C398,Huespedes conectados
C692,Huespedes esporádicos
C475,Huespedes conectados
C419,Huespedes conectados
C896,Huespedes esporádicos
C550,Huespedes conectados
C358,Huespedes conectados
C568,Huespedes conectados
C1001,Huespedes VIP
C1005,Huespedes VIP
C1010,Huespedes VIP
C1012,Huespedes VIP
C1019,Huespedes VIP
C1039,Huespedes conectados
C1045,Huespedes conectados
C1046,Huespedes conectados
C1048,Huespedes conectados
C1049,Huespedes conectados
C1054,Huespedes conectados
C1059,Huespedes conectados
C169,Huespedes esporádicos
C201,Huespedes VIP
C061,Huespedes conectados
C415,Huespedes esporádicos
C147,Huespedes VIP
C516,Huespedes conectados
C864,Huespedes esporádicos
C970,Huespedes esporádicos
C383,Huespedes esporádicos
C997,Huespedes esporádicos
C117,Huespedes VIP
C808,Huespedes esporádicos
C286,Huespedes conectados
C702,Huespedes esporádicos
C677,Huespedes esporádicos
C028,Huespedes conectados
C662,Huespedes esporádicos
C331,Huespedes conectados
C859,Huespedes esporádicos
C782,Huespedes esporádicos
C227,Huespedes VIP
C530,Huespedes conectados
C641,Huespedes esporádicos
C469,Huespedes conectados
C446,Huespedes conectados
C727,Huespedes esporádicos
C787,Huespedes esporádicos
C524,Huespedes esporádicos
C964,Huespedes esporádicos
C472,Huespedes conectados
C669,Huespedes esporádicos
C413,Huespedes conectados
C190,Huespedes VIP
C408,Huespedes conectados
C373,Huespedes esporádicos
C666,Huespedes esporádicos
C388,Huespedes conectados
C163,Huespedes VIP
C049,Huespedes conectados
C042,Huespedes conectados
C015,Huespedes esporádicos
C207,Huespedes VIP
C504,Huespedes conectados
C866,Huespedes esporádicos
C193,Huespedes VIP
C213,Huespedes VIP
C640,Huespedes esporádicos
C377,Huespedes conectados
C615,Huespedes esporádicos
C863,Huespedes esporádicos
C865,Huespedes esporádicos
C246,Huespedes VIP
C768,Huespedes esporádicos
C414,Huespedes conectados
C848,Huespedes esporádicos
C378,Huespedes conectados
C492,Huespedes conectados
C953,Huespedes esporádicos
C1003,Huespedes VIP
C1004,Huespedes VIP
C1020,Huespedes VIP
C1021,Huespedes VIP
C1022,Huespedes VIP
C1043,Huespedes conectados
C1051,Huespedes conectados
C1062,Huespedes conectados
C429,Huespedes conectados
C628,Huespedes esporádicos
C578,Huespedes conectados
C186,Huespedes VIP
C844,Huespedes esporádicos
C460,Huespedes conectados
C487,Huespedes conectados
C264,Huespedes esporádicos
C205,Huespedes VIP
C126,Huespedes VIP
C139,Huespedes VIP
C779,Huespedes esporádicos
C725,Huespedes esporádicos
C876,Huespedes esporádicos
C660,Huespedes esporádicos
C120,Huespedes VIP
C587,Huespedes esporádicos
C432,Huespedes esporádicos
C881,Huespedes esporádicos
C367,Huespedes conectados
C316,Huespedes conectados
C868,Huespedes esporádicos
C639,Huespedes esporádicos
C845,Huespedes esporádicos
C051,Huespedes esporádicos
C967,Huespedes esporádicos
C564,Huespedes conectados
C855,Huespedes esporádicos
C174,Huespedes VIP
C950,Huespedes esporádicos
C1000,Huespedes VIP
C572,Huespedes conectados
C128,Huespedes VIP
C954,Huespedes esporádicos
C100,Huespedes esporádicos
C682,Huespedes esporádicos
C260,Huespedes conectados
C981,Huespedes esporádicos
C985,Huespedes esporádicos
C625,Huespedes esporádicos
C345,Huespedes conectados
C403,Huespedes conectados
C783,Huespedes esporádicos
C352,Huespedes conectados
C267,Huespedes conectados
C142,Huespedes VIP
C363,Huespedes conectados
C376,Huespedes conectados
C440,Huespedes conectados
C861,Huespedes esporádicos
C452,Huespedes conectados
C673,Huespedes esporádicos
C764,Huespedes esporádicos
C653,Huespedes esporádicos
C451,Huespedes conectados
C850,Huespedes esporádicos
C1002,Huespedes VIP
C1008,Huespedes VIP
C1015,Huespedes VIP
C1016,Huespedes VIP
C1026,Huespedes VIP
C1033,Huespedes conectados
C1052,Huespedes conectados
